Minimum, average, and maximum entropy and complexity values.;;;;;;;
Table 3.  Minimum, average, and maximum entropy and complexity values for all 52 languages.;;;;;;;
English;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;5;Minimum entropy;0,707;0,471;-7,46%;-4,20%;C. Darwin, “The Different Forms of Flowers on Plants of the Same Species”
;;Mean entropy;0,764;0,443;0,00%;-2,18;W. Collins, “Little Novels”
;;;0,764;0,451;0,00%;-0,27%;J. London, “The Night-Born and Mean entropy Other Stories”
;;;0,765;0,451;0,00%;-0,30%;E. Nesbit, “The Phoenix and the Carpet”
;;Maximum entropy;0,802;0,398;4,93%;-11,98%;Lord Byron, “Don Juan”
;;Minimum complexity;0,802;0,398;4,93%;-11,98%;Lord Byron, “Don Juan”
;;Mean complexity;0,746;0,452;-2,45%;-0,02%;M. Davenport, “The Valley of Decision”
;;Maximum complexity;0,718;0,503;-6,09%;11,11%;G. K. Chesterton, “The Barbarism of Berlin”
;;Mean entropy and complexity;0,765;0,452;0,02%;-0,05%;W. Collins, “The Legacy of Cain”
3;6;Minimum entropy;0,659;0,531;-6,95%;-2,43%;"C. Darwin, ""The Different Forms of Flowers on Plants of the Same Species(Non-Fiction)"""
;;Mean entropy;0,708;0,536;0,00%;-1,64%;N. Hawthorne, “The Scarlet
;;;;;;;Letter”
;;Maximum entropy;0,746;0,507;5,31%;-7,07%;Lord Byron, “Don Juan”
;;Minimum complexity;0,746;0,507;5,33%;-7,09%;Lord Byron, “Don Juan”
;;Mean complexity;0,714;0,545;0,82%;-0,01%;S. White, “Blazed Trail Stories”
;;;0,715;0,545;0,88%;-0,01%;H. MacGrath, “Parrot & Co.”
;;Maximum complexity;0,694;0,58;-2,02%;6,30%;H. James, “The Marriages”
;;Mean entropy and complexity;0,708;0,545;-0,05%;-0,03%;G. Keith , “The Man Who Was Thursday”
3;7;Minimum entropy;0,608;0,572;-7,72%;-2,83%;H.Wadsworth, “Evangeline”
;;Mean entropy;0,658;0,587;0,00%;-0,28%;R. Barbour, “The Half-Back”
;;Maximum entropy;0,709;0,585;7,68%;-0,75%;E. Spenser, “The Faerie Queene”
;;Minimum complexity;0,64;0,559;-2,83%;-5,06%;A.C. Doyle, “The Great Boer War”
;;Mean complexity;0,626;0,589;-4,91%;0,00%;P. White, “Life in the War Zone”
;;;0,672;0,589;2,14%;0,00%;H. James, “The Golden Bowl”
;;;0,679;0,589;3,17%;0,00%;R. Connor, “The Patrol of the Sun
;;;;;;;Dance Trail”
;;Maximum complexity;0,673;0,618;2,24%;4,86%;W. Shakespeare, “Midsummer Night's Dream”
;;Mean entropy and complexity;0,658;0,589;-0,01%;-0,06%;E. Wallace, “Bones”
4;3;Minimum entropy;0,754;0,506;-8,96%;18,11%;H.Wadsworth, “Evangeline”
;;Mean entropy;0,829;0,414;0,00%;-3,36%;J. Altsheler, “The Quest of the
;;;;;;;Four”
;;;0,829;0,417;0,00%;-2,66%;A.B. Reeve, “The War Terror”
;;;0,829;0,454;0,01%;6,08%;J.M. Barrie, “Dear Brutus”
;;Maximum entropy;0,858;0,381;3,59%;-10,88%;H.R. Haggard, “Dawn”
;;Minimum complexity;0,853;0,362;2,99%;-15,54%;Lord Byron, “Don Juan”
;;Mean complexity;0,82;0,428;-1,00%;0,00%;S. White, “African Camp Fires”
;;Maximum complexity;0,754;0,506;-8,96%;18,11%;H.Wadsworth, “Evangeline”
;;Mean entropy and complexity;0,828;0,428;-0,13%;0,01%;E. Wallace, “The Daffodil Mystery”
4;4;Minimum entropy;0,66;0,613;-9,98%;-1,45%;H.Wadsworth, “Evangeline”
;;Mean entropy;0,733;0,628;0,01%;0,85%;A. Johnston, “Joel: A Boy of Galilee”
;;;0,733;0,617;0,01%;-0,82%;A. Reeve, “The Film Mystery”
;;Maximum entropy;0,78;0,583;6,47%;-6,30%;Lord Byron, “Don Juan”
;;Minimum complexity;0,771;0,581;5,19%;-6,67%;A. Trollope, “The Way We Live Now”
;;Mean complexity;0,674;0,622;-8,01%;0,01%;N. Hawthorne, “Biographical
;;;;;;;Sketches”
;;Maximum complexity;0,726;0,643;-0,97%;3,40%;W. Shakespeare, “Twelfth Night”
;;Mean entropy and complexity;0,733;0,622;0,06%;0,03%;E. Wallace, “The Daffodil Mystery”
5;3;Minimum entropy;0,624;0,61;-12,04%;-7,18%;G. K. Chesterton, “The Barbarism of Berlin”
;;Mean entropy;0,71;0,659;0,00%;0,20%;S. Anderson, “Marching Men”
;;Maximum entropy;0,784;0,653;10,47%;-0,71%;A. Trollope, “Can You Forgive Her?”
;;Minimum complexity;0,624;0,61;-12,04%;-7,18%;"G. K. Chesterton, “The Barbarism of Berlin"""
;;Mean complexity;0,698;0,657;-1,65%;0,00%;J. London, “The Strength of the
;;;;;;;
;;;0,692;0,657;-2,52%;0,00%;E.P. Roe, “Found Yet Lost”
;;;0,693;0,657;-2,26%;0,00%;R. Tagore, “Mashi and Other
;;;;;;;Stories”
;;;0,761;0,657;7,27%;0,01%;W. Collins, “Man and Wife”
;;Maximum complexity;0,738;0,673;4,04%;2,37%;H.R. Haggard, “Dawn”
;;Mean entropy and complexity;0,71;0,659;0,00%;0,20%;S. Anderson, “Marching Men”
6;2;Minimum entropy;0,672;0,63;-12,69%;-1,05%;H.Wadsworth, “Evangeline”
;;Mean entropy;0,769;0,652;0,00%;2,49%;H.R. Garis, “The Curlytops on Star
;;;;;;;Island”
;;;0,769;0,652;0,00%;2,52%;H.R. Garis, “The Curlytops
;;;;;;;Snowed In”
;;;0,769;0,645;0,00%;1,38%;W. Scott, “The Black Dwarf”
;;Maximum entropy;0,853;0,539;10,84%;-15,23%;A. Trollope, “Can You Forgive Her?”
;;Minimum complexity;0,852;0,535;10,73%;-15,88%;A. Trollope, “The Way We Live Now”
;;Mean complexity;0,777;0,636;1,06%;0,00%;D.H. Lawrence, “Sea and
;;;;;;;Sardinia”
;;;0,794;0,636;3,20%;0,00%;A. Christie, “The Secret
;;;;;;;Adversary”
;;;0,786;0,636;2,15%;0,00%;T. Carlyle, “Latter Day Pamphlets”
;;Maximum complexity;0,738;0,66;-4,11%;3,67%;W.S. Maugham, “Caesar's Wife”
;;Mean entropy and complexity;0,769;0,639;-0,02%;0,43%;J. London, “Jerry of the Islands”
;;;;;;;
Russian;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;5;Minimum entropy;0,715;0,461;6,68%;1,81%;I. Turgenev “A Month in the Country”
;;Mean entropy;0,766;0,426;-0,02%;0,36%;A. Pushkin, “The Captain’s
;;;;;;;Daughter”
;;;0,766;0,426;-0,02%;-5,94%;I. Goncharov “The Cliff”
;;Maximum entropy;0,813;0,421;6,06%;-6,85%;S. Bobrov, “Taurica, or My Summer Day at the Taurian Chersonesus”
;;Minimum complexity;0,799;0,408;4,28%;-9,79%;N. Karamzin, “Letters of a Russian Traveller”
;;Mean complexity;0,779;0,452;1,59%;0,02%;A. Bestuzhev, “The Test”
